# IVD_Sequences
#
# History:
#
# 2014-05-16 Combined registration of the Moji_Joho collection and of
#            sequences in that collection.
#
# 2012-07-02 File restored due to corruption on the server.
#
# 2012-03-02 Registration of additional sequences in the Adobe-Japan1
#            collection. Registration of additional sequences in the
#            Hanyo-Denshi collection.
#
# 2010-11-14 Combined registration of the Hanyo-Denshi collection and of
#            sequences in that collection.
#
# 2007-12-14 Combined registration of the Adobe-Japan1 collection and of
#            sequences in that collection.
#
# This file is part of the Unicode Ideographic Variation Database (IVD).
# For more details on the IVD, see UTS #37:
# http://www.unicode.org/reports/tr37/
#
# Copyright 2006-2014 Unicode, Inc.
# For terms of use, see: http://www.unicode.org/terms_of_use.html
#
3402 E0100; Adobe-Japan1; CID+13698
3402 E0101; Adobe-Japan1; CID+13697
3402 E0102; Adobe-Japan1; CID+13699
3402 E0103; Hanyo-Denshi; IA0102
3402 E0104; Hanyo-Denshi; TK01000160
3404 E0100; Hanyo-Denshi; IA0103
3404 E0100; Moji_Joho; MJ000008
3404 E0101; Hanyo-Denshi; KS152700
3404 E0101; Moji_Joho; MJ000007
3405 E0100; Adobe-Japan1; CID+15387
3406 E0100; Adobe-Japan1; CID+17242
3427 E0100; Adobe-Japan1; CID+13910
3427 E0101; Hanyo-Denshi; IA0105
3427 E0102; Hanyo-Denshi; TK01000500
342A E0100; Hanyo-Denshi; IA0106
342A E0101; Hanyo-Denshi; JTC0B3
342A E0101; Moji_Joho; MJ000023
342A E0102; Hanyo-Denshi; TK01024240
342A E0103; Moji_Joho; MJ000022
342C E0100; Adobe-Japan1; CID+17246
342C E0101; Hanyo-Denshi; IA0107
342C E0101; Moji_Joho; MJ000025
342C E0102; Hanyo-Denshi; KS098140
342C E0102; Moji_Joho; MJ057397
342E E0100; Adobe-Japan1; CID+14216
342E E0101; Moji_Joho; MJ000027
342E E0102; Moji_Joho; MJ000028
342E E0103; Moji_Joho; MJ000029
3436 E0100; Hanyo-Denshi; IA0112
3436 E0100; Moji_Joho; MJ000036
3436 E0101; Hanyo-Denshi; JTAD47
3436 E0101; Moji_Joho; MJ000037
3441 E0100; Hanyo-Denshi; IA0114
3441 E0100; Moji_Joho; MJ000045
3441 E0101; Hanyo-Denshi; JT3441
3441 E0101; Moji_Joho; MJ000046
3442 E0100; Moji_Joho; MJ000047
3442 E0101; Moji_Joho; MJ000048
344D E0100; Hanyo-Denshi; IA0923
344D E0101; Hanyo-Denshi; TK01003470
3464 E0100; Hanyo-Denshi; IA0126
3464 E0100; Moji_Joho; MJ000074
3464 E0101; Hanyo-Denshi; KS009720
3464 E0101; Moji_Joho; MJ000073
3468 E0100; Adobe-Japan1; CID+14047
346A E0100; Adobe-Japan1; CID+17269
3479 E0100; Hanyo-Denshi; IA0128
3479 E0100; Moji_Joho; MJ000089
3479 E0101; Hanyo-Denshi; JTAD8C
3479 E0101; Moji_Joho; MJ013511
3479 E0102; Hanyo-Denshi; KS158120
3479 E0102; Moji_Joho; MJ057674
3488 E0100; Adobe-Japan1; CID+15442
348A E0100; Hanyo-Denshi; IA0968
348A E0100; Moji_Joho; MJ000106
348A E0101; Hanyo-Denshi; KS014050
348A E0101; Moji_Joho; MJ000105
3492 E0100; Adobe-Japan1; CID+17294
3496 E0100; Hanyo-Denshi; KS013950
3496 E0101; Hanyo-Denshi; TK01005910
34A7 E0100; Hanyo-Denshi; IA0980
34A7 E0100; Moji_Joho; MJ000129
34A7 E0101; Hanyo-Denshi; KS015310
34A7 E0101; Moji_Joho; MJ000130
34B5 E0100; Adobe-Japan1; CID+16793
34B8 E0100; Hanyo-Denshi; KS017260
34B8 E0100; Moji_Joho; MJ000143
34B8 E0101; Hanyo-Denshi; KS412410
34B8 E0101; Moji_Joho; MJ000144
34B9 E0100; Hanyo-Denshi; IA1003
34B9 E0100; Moji_Joho; MJ000146
34B9 E0101; Hanyo-Denshi; KS017740
34B9 E0101; Moji_Joho; MJ000145
34BB E0100; Hanyo-Denshi; IA1004
34BB E0101; Hanyo-Denshi; TK01084400
34BC E0100; Adobe-Japan1; CID+17303
34BC E0101; Hanyo-Denshi; IA0133
34BC E0101; Moji_Joho; MJ000150
34BC E0102; Hanyo-Denshi; KS018450
34BC E0102; Moji_Joho; MJ057021
34BD E0100; Hanyo-Denshi; IA1005
34BD E0101; Hanyo-Denshi; TK01039610
34C1 E0100; Adobe-Japan1; CID+18384
34C3 E0100; Hanyo-Denshi; IA0135
34C3 E0100; Moji_Joho; MJ000156
34C3 E0101; Hanyo-Denshi; JTADF7
34C3 E0101; Moji_Joho; MJ000157
34C7 E0100; Adobe-Japan1; CID+17307
34C7 E0101; Hanyo-Denshi; JD0315
34C7 E0102; Hanyo-Denshi; TK01008590
34CC E0100; Hanyo-Denshi; IA1015
34CC E0101; Hanyo-Denshi; TK01008700
34D7 E0100; Hanyo-Denshi; IA0136
34D7 E0100; Moji_Joho; MJ000175
34D7 E0101; Hanyo-Denshi; KS020320
34D7 E0101; Moji_Joho; MJ000176
34DB E0100; Adobe-Japan1; CID+15425
34DE E0100; Hanyo-Denshi; IA1026
34DE E0100; Moji_Joho; MJ000183
34DE E0101; Hanyo-Denshi; KS022440
34DE E0102; Hanyo-Denshi; KS022450
